اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
من أجل حنفي,1964,nan,-,اخرج محمود سجن قضي بار هول هوب صديق راقص عزيز زوجه سابق فطومه طلب طلاق ثني وجود سجن تزوج تاجر ارز غني راتب قرر محمود ٱستغلال فطومه طلب بدوي مساعد خطف ٱبن حنفي طلب فطومه لٰكن ٱستطاع تدبير ماتي ٱبن حنفي ضعف اخبر فطومه ذٰلك ٱستمر تهديد جانب اخر سعي محمود راتب ٱستطاع كسب ثقه طمع زواج ٱبنه عايد لٰكن احب احمد حصل شهاده جامعي قدم عايد والد حفل مقام منزل احمد جوار عمود سمع حوار دار محمود مساعد بدوي ٱتفق قتل راتب قتل هجم بدوي قتل راتب محمود حبس احمد اخفي بدوي مزرع راتب سبب خلاف محمود بدوي ٱعترف بدوي لفطومه شيء قتل محمود هدد عايد مسدس توقع عقد بيع ارض احمد ٱستطاع فرار ابلاغ بوليس انقذ عايد مناسب ٱعتبر فطومه احمد مثابه ٱبن مختطف باراك زواج احب ٱبن,"أحمد رمزي,نعيمة عاكف,عزيزة حلمي,توفيق الدقن,مختار السيد,عبدالغني النجدي,محمود فرج,ليلى يسري,نجوى فؤاد,حسين رياض,زهرة العلا,عبدالعظيم كامل,عبدالمحسن سليم,عبدالخالق صالح,نوال فهمي",صبري عزت,nan,nan,nan,nan,nan,nan,حسن الصيفي,nan
فاتنة الجماهير,1964,nan,107,جزع مطرب مشهور نهل نقد لاذع كتب كاتب صحيفه حسني مجله ضوء مدينه حسس كتب يءثر شعب فاتن جمهور سوي وسيله رمي شبكه صحيفه لٰكن عرف محامي شاب دخل حياه ولد قصه حب ٱثنين نهايه عرف صحيفه هاجم ذٰلك طريق سيكا زوجه مدير صاله تشاتشا ٱعترف حسني نهل حقيقه احب فعل تزوج سينما لبناني,"صباح,عبدالسلام النابلسي,يوسف شعبان,حسن المليجي,صلاح نادر,شريفة ماهر,جاكلين,أبو الفهم,نجا نصار,كيغام,محمود زريق","محمد سلمان,سيد المغربي ","محمود النمير,الصباح أخوان","روبير طمبا,احمد محسن,روبير سعد","نوال كوستى,اميل بحرى,فؤاد زنتوت",nan,nan,"محمد علي فتوح,محمد عبدالوهاب,عفيف رضوان,عاصي الرحباني,منصور الرحباني","محمد سلمان,قاسم حمية",nan
الناس   والنيل,1964,nan,-,ملخص,سيف الدين شوكت,nan,nan,nan,nan,nan,nan,nan,nan,nan
لو كنت رجلاً,1964,nan,115,ٱضطر حافظ عمل مكتب تحقيق امل اعداد رساله دكتور حيوان زميل سمير ضايق ٱستمرار دفع عمل اخ منعم ممثل دور فرقه مسرح سعي بحث زوج صاحب لٰكن داءما عمل شيء كره سافر عمل اسكندري احمد حشم اعجب ثني عمل مكتب بحث ٱستطاع زميل هدي معرفه عنوان اسكندري قرا مسابقه شب متزوج حديث سر سعاده متسابق متزوج ٱشتري مسابقه دعا متزوج ارسل صوره اخ منعم اساس زوج فوجءت خطاب اخبر فوز مسابقه مندوب مجله صاحب زوج رحله عالم مده بحث زوج اسرع وقت خاطب جدي صديق هدي حفل انكر لبس زي رجل هندي قابل مهندس احمد ٱعتقد رجل سمير زميل مكتب سبب حيله عرض تزوج فضح امر اداره مجله وافق رغم ٱستعد فرح تفقد امل ري احمد فعل كشف حقيقه ٱتفق زواج ماذون ٱنتظر عقد زواج سمير تالي مهندس احمد ٱنتظار مندوب مجله ٱستعداد كشف حيله حدث,"عايدة هلال,شكري سرحان,عبدالمنعم إبراهيم,يوسف شعبان,عزيزة حلمي,عصمت محمود,صبري عبدالعزيز,عدلي كاسب,عبدالرحمن أبو زهرة,لطفي الحكيم,عواطف رمضان,عبدالسلام محمد,عبدالمنعم بسيوني,كوثر رمزي,رأفت فهيم,ثريا فخري","إبراهيم الورداني,أحمد ضياء الدين",أفلام عايدة هلال,ابراهيم عادل,"حسين عفيفي,ناهد مكاوي",ماهر عبدالنور,nan,nan,"أحمد ضياء الدين,إبراهيم المنياوى",nan
اوراق الخريف,1964,nan,-,قصه فيلم تحدث فءاد سليم بصري عمل تاجر ناجح عاش حياه عاءليه سعيد زوجه شك راود صديقهيعقوب امين حاول اغواء زوجه مورينويطلقها عمل مدينه بصره فشل عمل نتيجه ادمان لذيذ بصره قاصد هند عمل مر زوجه ظرف قاهره حاول قتل صديق زوج عاش ٱبن حياه قاسي ام سجن سجن عمل عمل قمه عيش زوج هند قاد صدفه ملاقاه ٱبن سعدون عبد ملاقاه زوجه عرف حقيقه فوات اوان مات زوجه يد نتيجه مرض الم سجن ظرف صعب,"سليم البصري,يعقوب الأمين,مورين,سعدون العبيدي,عمانوئيل رسام,سهام السبتي,راسم الجميلي,حمودي الحارثي",nan,nan,nan,nan,nan,nan,nan,nan,nan
حكاية نص الليل,1964,nan,-,جو درامي رصد فيلم قصه اسر عاني رد رب اسر شاكر فرض ٱبنه زواج رجل ٱختار رغم احب اضاف سميح زوجه شاكر مريض مصاب شلل رغبه تحسين وضع طلب شاكر سكرتير جديد ساعد زوجه عقد امر تعيين ٱبتسام وظيفه بدا شاكر شكا ٱبتسام رفض اخذ دواء يد اخذ حدث منح درامي جديد,"عماد حمدي,روحية خالد,توفيق الدقن,إستيفان روستي,نجوى فؤاد,إحسان شريف,سمير صبري,يوسف شعبان,زيزي البدراوي,ابتسام حلمي,حسين ياقوت,عيد عبدالمجيد,أحمد مرسي,عبدالعظيم شعلان,مصطفى عز الدين,جميل غالي,ممدوح صادق","عيسى كرامة,عبدالفتاح السيد",nan,nan,nan,nan,nan,nan,عيسى كرامة,nan
بدوية في باريس,1964,nan,-,ملخص,"سميرة توفيق,رشدي أباظة,عبدالسلام النابلسي,إغراء,جاكلين,ميادة,آمال العريس,الهام عواد,نرجس حسن,زكي حمود,فريد صقر,فوزي فؤاد,محسن السامراني,صابر أبو لبن,خالد قرانوح,أحمد النمير,علي دياب,يوسف حسني,زين الصيداني,إبراهيم مرعشلي,نوال محمد,حياة شدياق",محمد سلمان,nan,nan,nan,nan,nan,nan,محمد سلمان,nan
هارب من الحياة,1964,nan,117,سلوي تءدي دور اصاب دوخه عابر نصح دكتور محمود جلال تام حضور عياده كشف شارك عياده صديق طبيب سن دكتور كمال زير نساء عرف كمال سلوي معرفه سطحي احب محمود حتي راوند اخذ صديق كمال ملهي ليلي ٱنتقل سلوي عمل ساق محمود راقص الزباءن تضايق طلب زواج صدق بادء امر وافق زواج سري شهر عسل اذ اخبر صديق كمال حتي وفر محمود زوجه حياه سعيد انفق مدخر مدخر نوي انشاء مستشفي صديق كمال رغم معارضه سلوي انفاق محمود ٱستمع اهمل عياده بدا اوقع شيك رصيد دخل كمال سداد شيك طلب سلوي تنبيه زوج خطوره حضر محمود كمال ٱنتاب وشك طفل ٱنتظر ٱبن حتي ٱستطاع انفاق بدا محمود قيام عمليه محظور بوليس ذٰلك شطب ٱسم نقابه طبيب بدا هدد زوجه قتل ٱنقلب معامله محمود كمال اوصي زوجه ٱبن ولد القي بحر عثر جثه وضع سلوي محمود صغير تزوج كمال عمل نصيحه صديق بلغ طفل عمر ففوجء كمال مكالمه تلفوني سال محمود توالي مكالمه حتي ٱكتشف مصدر محمود مات طلب ٱستعاده زوجه رفض كمال محمود ٱستطاع ٱستعاده شخص قديم خطف محمود ٱبن طلب سلوي حضور شاطء ابو قير راوند مداوله طفل اخذ ام كمال تاركين بوليس تعامل محمود,"نادية لطفي,شكري سرحان,صلاح ذو الفقار,سميرة محسن,يوسف حسني,عبدالعظيم كمال,حسين إسماعيل,أحمد مرسي","محمد عثمان,إبراهيم الورداني",عباس حلمي,ضياء الدين المهدي,"فكري رستم,فتحي داود,مارسيل صالح","عباس حلمي,عبدالحميد السخاوي,الاستوديوهات العربية",nan,منتخبات عالمية,"عاطف سالم,أحمد السبعاوي,نجيب إسكندر",nan
مسرحية سلمى,1965,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
الرجال لا يتزوجون الجميلات,1965,nan,85,عاني فتاه كريم عقد نفي ضخم لذيذ عرف رجل احجم زواج وقوع قصه حب نفي عرف مهندس حسين اشبه سمه معقد نساء الحسناوات خانه زوجه جميل قرر تزوج امر احسن عاش كريم سعيد زوج تقرر جري عمليه تجميل طبيب وراء زوج جري عمليه صدم حسين فعل زوجه جميل طرد منزل اسر مر شعر حسين ندم تسرع حكم زوجه قرر اعاده,"شويكار,أحمد خميس,حسين الشربيني,ماجدة الخطيب,زوزو حمدي الحكيم,عزيزة حلمي,سعد أردش,يعقوب ميخائيل,عبدالخالق صالح,زينب نصار,ساميه دياب,طارق أنور,سوسن نجيب","هيلين خياط,أحمد عبدالوهاب","الشركة العامة للإنتاج السينمائي العربي,على رضوان","مجدي سعد,رفعت راغب","مصطفى مختار,سامية يوسف,صلاح عبدالرازق","حلمي عزب,مجدي حزين",nan,سليمان جميل,"أحمد فاروق,محمد مفتاح,ناجي رياض",الشركة العامة لتوزيع وعرض الأفلام السينمائية
غارو,1965,nan,-,فيلم مقتبس قصه حقيقي حدث لبنان مطلع ستيني قصه غارو خارج قانون لبث اخرج سجن حتي مره اخري رغم اراد ممارسه عنف جديد مطارد شرطه هرب سوريا بيروت متنكر زي بدوي تشكيل عصابه تاجر مخدر داهم شرطه مقر ٱستمر مطارد حتي تمكن نهايه امر قتل,"منير معاصري,نادية جمال,سميرة بارودي,سمير شمص,عماد فريد,محمود سعيد,جوزيف نانو,مارسيل مارينا,أنطوان كرباج,هند طاهر,ليلى كرم","كاري كربيتيان,سامى غميقة",nan,",كاري كربيتيان",كاري كربيتيان,nan,nan,nan,كاري كربيتيان,nan
العلمين,1965,nan,95,عالي فواز مقتبل عمر ٱنتمي قبيل بدوي مختلف احب اخر عاش منطقه قرب ساحل شمالي اطلق ٱسم رغم قصه حب رقيق زواج بدا مستحيل قرر رءيس قبيل زوج ٱبن فواز ٱبن عم فواز رفض حاول ٱقتراب قبيل تزوج دار صراع مسلح فواز ٱبن عم عالي ثني مبارزه قتل علاقه قبيل تقرر عالي ٱنتقم ٱبن عم ٱستدرج مكان صحراء طعن خنجر حتي قتل ابناء قبيل لفظ روح طعن خنجر ٱكتشف قبيل حدث رد دفن عاشق مكان اطلق مكان ٱسم صالح ابناء قبيل,"يوسف شعبان,صلاح قابيل,مديحة سالم,عبدالعليم خطاب,حورية حسن,أمينة رزق,وداد حمدي,حسين عسر,عبدالعظيم عبدالحق,سعيد خليل,هدى عيسى,نوال فهمي,أحمد الحماقى,فتحية علي,إبراهيم حمودة,سوسن السخاوي,نادية محمد محمود","سنية قراعة,عبدالعليم خطاب",سيد إسماعيل,مصطفى حسن,"حلمى صادق,هدى المهدية","عجمي عبدالرحمن,عبدالحميد السخاوي",nan,أحمد صدقي,"عبدالعليم خطاب,محمد مفتاح",nan
